plant,year,month,fin_material_id,depth,material,release_type,production_type,production_quantity,component,component_release_type,component_production_type,component_quantity
RLT_10,2024,1,10001,4,80001,PROD,8000,"1,904.00",90010,ADD,,72.00
RLT_10,2024,2,10000,0,10000,FIN,8002,960.00,50000,PROD,8002.0,960.00
RLT_10,2024,2,10000,1,50000,PROD,8002,839.00,80070,PROD,8007.0,980.00
RLT_10,2024,2,10000,1,50000,PROD,8002,839.00,90000,ADD,,49.00
RLT_10,2024,2,10000,1,50000,PROD,8002,839.00,90001,ADD,,22.00
RLT_10,2024,2,10000,2,80070,PROD,8007,984.00,80010,PROD,8001.0,"3,338.00"
RLT_10,2024,2,10000,2,80070,PROD,8007,984.00,90002,ADD,,33.00
RLT_10,2024,2,10000,2,80070,PROD,8007,984.00,90003,ADD,,10.00
RLT_10,2024,2,10000,3,80010,PROD,8001,"1,629.00",80000,PROD,8000.0,"1,876.00"
RLT_10,2024,2,10000,3,80010,PROD,8001,"1,629.00",90004,ADD,,104.00
RLT_10,2024,2,10000,4,80000,PROD,8000,"1,829.00",70000,RM,,"2,522.00"
RLT_10,2024,2,10000,4,80000,PROD,8000,"1,829.00",90005,ADD,,73.00
RLT_10,2024,2,10001,0,10001,FIN,8002,"1,050.00",50001,PROD,8002.0,"1,050.00"
RLT_10,2024,2,10001,1,50001,PROD,8002,811.00,80071,PROD,8007.0,879.00
RLT_10,2024,2,10001,1,50001,PROD,8002,811.00,90005,ADD,,48.00
RLT_10,2024,2,10001,1,50001,PROD,8002,811.00,90006,ADD,,20.00
RLT_10,2024,2,10001,2,80071,PROD,8007,875.00,80011,PROD,8001.0,"3,021.00"
RLT_10,2024,2,10001,2,80071,PROD,8007,875.00,90007,ADD,,29.00
RLT_10,2024,2,10001,2,80071,PROD,8007,875.00,90008,ADD,,11.00
RLT_10,2024,2,10001,3,80011,PROD,8001,"1,635.00",80001,PROD,8000.0,"2,130.00"
RLT_10,2024,2,10001,3,80011,PROD,8001,"1,635.00",90009,ADD,,107.00
RLT_10,2024,2,10001,4,80001,PROD,8000,"2,144.00",70001,RM,,"2,538.00"
RLT_10,2024,2,10001,4,80001,PROD,8000,"2,144.00",90010,ADD,,73.00
RLT_10,2024,3,10000,0,10000,FIN,8002,968.00,50000,PROD,8002.0,968.00
RLT_10,2024,3,10000,1,50000,PROD,8002,721.00,80070,PROD,8007.0,"1,034.00"
RLT_10,2024,3,10000,1,50000,PROD,8002,721.00,90000,ADD,,46.00
RLT_10,2024,3,10000,1,50000,PROD,8002,721.00,90001,ADD,,22.00
RLT_10,2024,3,10000,2,80070,PROD,8007,989.00,80010,PROD,8001.0,"3,555.00"
RLT_10,2024,3,10000,2,80070,PROD,8007,989.00,90002,ADD,,32.00
RLT_10,2024,3,10000,2,80070,PROD,8007,989.00,90003,ADD,,11.00
RLT_10,2024,3,10000,3,80010,PROD,8001,"1,954.00",80000,PROD,8000.0,"2,192.00"
RLT_10,2024,3,10000,3,80010,PROD,8001,"1,954.00",90004,ADD,,96.00
RLT_10,2024,3,10000,4,80000,PROD,8000,"2,002.00",70000,RM,,"2,724.00"
RLT_10,2024,3,10000,4,80000,PROD,8000,"2,002.00",90005,ADD,,76.00
RLT_10,2024,3,10001,0,10001,FIN,8002,955.00,50001,PROD,8002.0,955.00
RLT_10,2024,3,10001,1,50001,PROD,8002,795.00,80071,PROD,8007.0,818.00
RLT_10,2024,3,10001,1,50001,PROD,8002,795.00,90005,ADD,,46.00
RLT_10,2024,3,10001,1,50001,PROD,8002,795.00,90006,ADD,,20.00
RLT_10,2024,3,10001,2,80071,PROD,8007,894.00,80011,PROD,8001.0,"3,359.00"
RLT_10,2024,3,10001,2,80071,PROD,8007,894.00,90007,ADD,,33.00
RLT_10,2024,3,10001,2,80071,PROD,8007,894.00,90008,ADD,,9.00
RLT_10,2024,3,10001,3,80011,PROD,8001,"1,708.00",80001,PROD,8000.0,"2,035.00"
RLT_10,2024,3,10001,3,80011,PROD,8001,"1,708.00",90009,ADD,,91.00
RLT_10,2024,3,10001,4,80001,PROD,8000,"1,854.00",70001,RM,,"2,677.00"
RLT_10,2024,3,10001,4,80001,PROD,8000,"1,854.00",90010,ADD,,68.00
RLT_10,2024,4,10000,0,10000,FIN,8002,"1,006.00",50000,PROD,8002.0,"1,006.00"
RLT_10,2024,4,10000,1,50000,PROD,8002,783.00,80070,PROD,8007.0,865.00
RLT_10,2024,4,10000,1,50000,PROD,8002,783.00,90000,ADD,,46.00
RLT_10,2024,4,10000,1,50000,PROD,8002,783.00,90001,ADD,,19.00
RLT_10,2024,4,10000,2,80070,PROD,8007,896.00,80010,PROD,8001.0,"3,541.00"
RLT_10,2024,4,10000,2,80070,PROD,8007,896.00,90002,ADD,,30.00
RLT_10,2024,4,10000,2,80070,PROD,8007,896.00,90003,ADD,,9.00
RLT_10,2024,4,10000,3,80010,PROD,8001,"1,781.00",80000,PROD,8000.0,"1,849.00"
RLT_10,2024,4,10000,3,80010,PROD,8001,"1,781.00",90004,ADD,,98.00
RLT_10,2024,4,10000,4,80000,PROD,8000,"1,955.00",70000,RM,,"2,729.00"
RLT_10,2024,4,10000,4,80000,PROD,8000,"1,955.00",90005,ADD,,70.00
RLT_10,2024,4,10001,0,10001,FIN,8002,"1,070.00",50001,PROD,8002.0,"1,070.00"
RLT_10,2024,4,10001,1,50001,PROD,8002,805.00,80071,PROD,8007.0,927.00
RLT_10,2024,4,10001,1,50001,PROD,8002,805.00,90005,ADD,,53.00
RLT_10,2024,4,10001,1,50001,PROD,8002,805.00,90006,ADD,,20.00
RLT_10,2024,4,10001,2,80071,PROD,8007,848.00,80011,PROD,8001.0,"3,447.00"
RLT_10,2024,4,10001,2,80071,PROD,8007,848.00,90007,ADD,,30.00
RLT_10,2024,4,10001,2,80071,PROD,8007,848.00,90008,ADD,,10.00
RLT_10,2024,4,10001,3,80011,PROD,8001,"1,862.00",80001,PROD,8000.0,"2,031.00"
RLT_10,2024,4,10001,3,80011,PROD,8001,"1,862.00",90009,ADD,,110.00
RLT_10,2024,4,10001,4,80001,PROD,8000,"2,075.00",70001,RM,,"2,616.00"
RLT_10,2024,4,10001,4,80001,PROD,8000,"2,075.00",90010,ADD,,65.00
RLT_10,2024,5,10000,0,10000,FIN,8002,"1,004.00",50000,PROD,8002.0,"1,004.00"
RLT_10,2024,5,10000,1,50000,PROD,8002,750.00,80070,PROD,8007.0,937.00
RLT_10,2024,5,10000,1,50000,PROD,8002,750.00,90000,ADD,,51.00
RLT_10,2024,5,10000,1,50000,PROD,8002,750.00,90001,ADD,,21.00
RLT_10,2024,5,10000,2,80070,PROD,8007,929.00,80010,PROD,8001.0,"3,440.00"
RLT_10,2024,5,10000,2,80070,PROD,8007,929.00,90002,ADD,,29.00
RLT_10,2024,5,10000,2,80070,PROD,8007,929.00,90003,ADD,,10.00
RLT_10,2024,5,10000,3,80010,PROD,8001,"1,742.00",80000,PROD,8000.0,"2,073.00"
RLT_10,2024,5,10000,3,80010,PROD,8001,"1,742.00",90004,ADD,,109.00
RLT_10,2024,5,10000,4,80000,PROD,8000,"2,077.00",70000,RM,,"2,714.00"
RLT_10,2024,5,10000,4,80000,PROD,8000,"2,077.00",90005,ADD,,63.00
RLT_10,2024,5,10001,0,10001,FIN,8002,954.00,50001,PROD,8002.0,954.00
RLT_10,2024,5,10001,1,50001,PROD,8002,757.00,80071,PROD,8007.0,881.00
RLT_10,2024,5,10001,1,50001,PROD,8002,757.00,90005,ADD,,50.00
RLT_10,2024,5,10001,1,50001,PROD,8002,757.00,90006,ADD,,19.00
RLT_10,2024,5,10001,2,80071,PROD,8007,857.00,80011,PROD,8001.0,"3,270.00"
RLT_10,2024,5,10001,2,80071,PROD,8007,857.00,90007,ADD,,32.00
RLT_10,2024,5,10001,2,80071,PROD,8007,857.00,90008,ADD,,11.00
RLT_10,2024,5,10001,3,80011,PROD,8001,"1,630.00",80001,PROD,8000.0,"2,105.00"
RLT_10,2024,5,10001,3,80011,PROD,8001,"1,630.00",90009,ADD,,109.00
RLT_10,2024,5,10001,4,80001,PROD,8000,"2,166.00",70001,RM,,"2,638.00"
RLT_10,2024,5,10001,4,80001,PROD,8000,"2,166.00",90010,ADD,,74.00
RLT_10,2024,6,10000,0,10000,FIN,8002,906.00,50000,PROD,8002.0,906.00
RLT_10,2024,6,10000,1,50000,PROD,8002,826.00,80070,PROD,8007.0,993.00
RLT_10,2024,6,10000,1,50000,PROD,8002,826.00,90000,ADD,,52.00
RLT_10,2024,6,10000,1,50000,PROD,8002,826.00,90001,ADD,,20.00
RLT_10,2024,6,10000,2,80070,PROD,8007,905.00,80010,PROD,8001.0,"3,576.00"
RLT_10,2024,6,10000,2,80070,PROD,8007,905.00,90002,ADD,,32.00
RLT_10,2024,6,10000,2,80070,PROD,8007,905.00,90003,ADD,,10.00
RLT_10,2024,6,10000,3,80010,PROD,8001,"1,730.00",80000,PROD,8000.0,"1,910.00"
RLT_10,2024,6,10000,3,80010,PROD,8001,"1,730.00",90004,ADD,,98.00
RLT_10,2024,6,10000,4,80000,PROD,8000,"1,830.00",70000,RM,,"2,344.00"
RLT_10,2024,6,10000,4,80000,PROD,8000,"1,830.00",90005,ADD,,71.00
RLT_10,2024,6,10001,0,10001,FIN,8002,901.00,50001,PROD,8002.0,901.00
RLT_10,2024,6,10001,1,50001,PROD,8002,764.00,80071,PROD,8007.0,984.00
RLT_10,2024,6,10001,1,50001,PROD,8002,764.00,90005,ADD,,45.00
RLT_10,2024,6,10001,1,50001,PROD,8002,764.00,90006,ADD,,20.00
RLT_10,2024,6,10001,2,80071,PROD,8007,988.00,80011,PROD,8001.0,"3,803.00"
RLT_10,2024,6,10001,2,80071,PROD,8007,988.00,90007,ADD,,32.00
RLT_10,2024,6,10001,2,80071,PROD,8007,988.00,90008,ADD,,11.00
RLT_10,2024,6,10001,3,80011,PROD,8001,"1,772.00",80001,PROD,8000.0,"2,364.00"
RLT_10,2024,6,10001,3,80011,PROD,8001,"1,772.00",90009,ADD,,98.00
RLT_10,2024,6,10001,4,80001,PROD,8000,"2,185.00",70001,RM,,"2,117.00"
RLT_10,2024,6,10001,4,80001,PROD,8000,"2,185.00",90010,ADD,,68.00
RLT_10,2024,7,10000,0,10000,FIN,8002,983.00,50000,PROD,8002.0,983.00
RLT_10,2024,7,10000,1,50000,PROD,8002,796.00,80070,PROD,8007.0,972.00
RLT_10,2024,7,10000,1,50000,PROD,8002,796.00,90000,ADD,,49.00
RLT_10,2024,7,10000,1,50000,PROD,8002,796.00,90001,ADD,,19.00
RLT_10,2024,7,10000,2,80070,PROD,8007,900.00,80010,PROD,8001.0,"3,951.00"
RLT_10,2024,7,10000,2,80070,PROD,8007,900.00,90002,ADD,,29.00
RLT_10,2024,7,10000,2,80070,PROD,8007,900.00,90003,ADD,,10.00
RLT_10,2024,7,10000,3,80010,PROD,8001,"1,963.00",80000,PROD,8000.0,"1,974.00"
RLT_10,2024,7,10000,3,80010,PROD,8001,"1,963.00",90004,ADD,,109.00
RLT_10,2024,7,10000,4,80000,PROD,8000,"2,157.00",70000,RM,,"2,451.00"
RLT_10,2024,7,10000,4,80000,PROD,8000,"2,157.00",90005,ADD,,69.00
RLT_10,2024,7,10001,0,10001,FIN,8002,"1,054.00",50001,PROD,8002.0,"1,054.00"
RLT_10,2024,7,10001,1,50001,PROD,8002,764.00,80071,PROD,8007.0,803.00
RLT_10,2024,7,10001,1,50001,PROD,8002,764.00,90005,ADD,,49.00
RLT_10,2024,7,10001,1,50001,PROD,8002,764.00,90006,ADD,,20.00
RLT_10,2024,7,10001,2,80071,PROD,8007,870.00,80011,PROD,8001.0,"3,842.00"
RLT_10,2024,7,10001,2,80071,PROD,8007,870.00,90007,ADD,,32.00
RLT_10,2024,7,10001,2,80071,PROD,8007,870.00,90008,ADD,,10.00
RLT_10,2024,7,10001,3,80011,PROD,8001,"1,773.00",80001,PROD,8000.0,"2,033.00"
RLT_10,2024,7,10001,3,80011,PROD,8001,"1,773.00",90009,ADD,,94.00
RLT_10,2024,7,10001,4,80001,PROD,8000,"1,944.00",70001,RM,,"2,641.00"
RLT_10,2024,7,10001,4,80001,PROD,8000,"1,944.00",90010,ADD,,75.00
RLT_10,2024,8,10000,0,10000,FIN,8002,913.00,50000,PROD,8002.0,913.00
RLT_10,2024,8,10000,1,50000,PROD,8002,832.00,80070,PROD,8007.0,876.00
RLT_10,2024,8,10000,1,50000,PROD,8002,832.00,90000,ADD,,51.00
RLT_10,2024,8,10000,1,50000,PROD,8002,832.00,90001,ADD,,19.00
RLT_10,2024,8,10000,2,80070,PROD,8007,821.00,80010,PROD,8001.0,"3,059.00"
RLT_10,2024,8,10000,2,80070,PROD,8007,821.00,90002,ADD,,27.00
RLT_10,2024,8,10000,2,80070,PROD,8007,821.00,90003,ADD,,10.00
RLT_10,2024,8,10000,3,80010,PROD,8001,"1,625.00",80000,PROD,8000.0,"2,198.00"
RLT_10,2024,8,10000,3,80010,PROD,8001,"1,625.00",90004,ADD,,109.00
RLT_10,2024,8,10000,4,80000,PROD,8000,"2,041.00",70000,RM,,"2,420.00"
RLT_10,2024,8,10000,4,80000,PROD,8000,"2,041.00",90005,ADD,,68.00
RLT_10,2024,8,10001,0,10001,FIN,8002,"1,044.00",50001,PROD,8002.0,"1,044.00"
RLT_10,2024,8,10001,1,50001,PROD,8002,747.00,80071,PROD,8007.0,942.00
RLT_10,2024,8,10001,1,50001,PROD,8002,747.00,90005,ADD,,47.00
RLT_10,2024,8,10001,1,50001,PROD,8002,747.00,90006,ADD,,19.00
RLT_10,2024,8,10001,2,80071,PROD,8007,977.00,80011,PROD,8001.0,"3,835.00"
RLT_10,2024,8,10001,2,80071,PROD,8007,977.00,90007,ADD,,29.00
RLT_10,2024,8,10001,2,80071,PROD,8007,977.00,90008,ADD,,10.00
RLT_10,2024,8,10001,3,80011,PROD,8001,"1,922.00",80001,PROD,8000.0,"1,928.00"
RLT_10,2024,8,10001,3,80011,PROD,8001,"1,922.00",90009,ADD,,99.00
RLT_10,2024,8,10001,4,80001,PROD,8000,"1,931.00",70001,RM,,"2,797.00"
RLT_10,2024,8,10001,4,80001,PROD,8000,"1,931.00",90010,ADD,,68.00
RLT_10,2024,9,10000,0,10000,FIN,8002,"1,006.00",50000,PROD,8002.0,"1,006.00"
RLT_10,2024,9,10000,1,50000,PROD,8002,834.00,80070,PROD,8007.0,835.00
RLT_10,2024,9,10000,1,50000,PROD,8002,834.00,90000,ADD,,48.00
RLT_10,2024,9,10000,1,50000,PROD,8002,834.00,90001,ADD,,19.00
RLT_10,2024,9,10000,2,80070,PROD,8007,870.00,80010,PROD,8001.0,"3,171.00"
RLT_10,2024,9,10000,2,80070,PROD,8007,870.00,90002,ADD,,27.00
RLT_10,2024,9,10000,2,80070,PROD,8007,870.00,90003,ADD,,10.00
RLT_10,2024,9,10000,3,80010,PROD,8001,"1,706.00",80000,PROD,8000.0,"1,740.00"
RLT_10,2024,9,10000,3,80010,PROD,8001,"1,706.00",90004,ADD,,109.00
RLT_10,2024,9,10000,4,80000,PROD,8000,"1,846.00",70000,RM,,"2,182.00"
RLT_10,2024,9,10000,4,80000,PROD,8000,"1,846.00",90005,ADD,,71.00
RLT_10,2024,9,10001,0,10001,FIN,8002,941.00,50001,PROD,8002.0,941.00
RLT_10,2024,9,10001,1,50001,PROD,8002,861.00,80071,PROD,8007.0,"1,018.00"
RLT_10,2024,9,10001,1,50001,PROD,8002,861.00,90005,ADD,,47.00
RLT_10,2024,9,10001,1,50001,PROD,8002,861.00,90006,ADD,,21.00
RLT_10,2024,9,10001,2,80071,PROD,8007,958.00,80011,PROD,8001.0,"3,219.00"
RLT_10,2024,9,10001,2,80071,PROD,8007,958.00,90007,ADD,,32.00
RLT_10,2024,9,10001,2,80071,PROD,8007,958.00,90008,ADD,,10.00
RLT_10,2024,9,10001,3,80011,PROD,8001,"1,707.00",80001,PROD,8000.0,"2,108.00"
RLT_10,2024,9,10001,3,80011,PROD,8001,"1,707.00",90009,ADD,,101.00
RLT_10,2024,9,10001,4,80001,PROD,8000,"1,950.00",70001,RM,,"2,429.00"
RLT_10,2024,9,10001,4,80001,PROD,8000,"1,950.00",90010,ADD,,66.00
RLT_10,2024,10,10000,0,10000,FIN,8002,960.00,50000,PROD,8002.0,960.00
RLT_10,2024,10,10000,1,50000,PROD,8002,810.00,80070,PROD,8007.0,933.00
RLT_10,2024,10,10000,1,50000,PROD,8002,810.00,90000,ADD,,55.00
RLT_10,2024,10,10000,1,50000,PROD,8002,810.00,90001,ADD,,20.00
RLT_10,2024,10,10000,2,80070,PROD,8007,894.00,80010,PROD,8001.0,"3,889.00"
RLT_10,2024,10,10000,2,80070,PROD,8007,894.00,90002,ADD,,31.00
RLT_10,2024,10,10000,2,80070,PROD,8007,894.00,90003,ADD,,11.00
RLT_10,2024,10,10000,3,80010,PROD,8001,"1,803.00",80000,PROD,8000.0,"1,814.00"
RLT_10,2024,10,10000,3,80010,PROD,8001,"1,803.00",90004,ADD,,102.00
RLT_10,2024,10,10000,4,80000,PROD,8000,"1,845.00",70000,RM,,"2,545.00"
RLT_10,2024,10,10000,4,80000,PROD,8000,"1,845.00",90005,ADD,,70.00
RLT_10,2024,10,10001,0,10001,FIN,8002,"1,049.00",50001,PROD,8002.0,"1,049.00"
RLT_10,2024,10,10001,1,50001,PROD,8002,810.00,80071,PROD,8007.0,876.00
RLT_10,2024,10,10001,1,50001,PROD,8002,810.00,90005,ADD,,51.00
RLT_10,2024,10,10001,1,50001,PROD,8002,810.00,90006,ADD,,19.00
RLT_10,2024,10,10001,2,80071,PROD,8007,811.00,80011,PROD,8001.0,"3,890.00"
RLT_10,2024,10,10001,2,80071,PROD,8007,811.00,90007,ADD,,30.00
RLT_10,2024,10,10001,2,80071,PROD,8007,811.00,90008,ADD,,10.00
RLT_10,2024,10,10001,3,80011,PROD,8001,"1,895.00",80001,PROD,8000.0,"2,103.00"
RLT_10,2024,10,10001,3,80011,PROD,8001,"1,895.00",90009,ADD,,107.00
RLT_10,2024,10,10001,4,80001,PROD,8000,"2,045.00",70001,RM,,"2,287.00"
RLT_10,2024,10,10001,4,80001,PROD,8000,"2,045.00",90010,ADD,,67.00
RLT_10,2024,11,10000,0,10000,FIN,8002,955.00,50000,PROD,8002.0,955.00
RLT_10,2024,11,10000,1,50000,PROD,8002,733.00,80070,PROD,8007.0,992.00
RLT_10,2024,11,10000,1,50000,PROD,8002,733.00,90000,ADD,,48.00
RLT_10,2024,11,10000,1,50000,PROD,8002,733.00,90001,ADD,,21.00
RLT_10,2024,11,10000,2,80070,PROD,8007,924.00,80010,PROD,8001.0,"3,179.00"
RLT_10,2024,11,10000,2,80070,PROD,8007,924.00,90002,ADD,,28.00
RLT_10,2024,11,10000,2,80070,PROD,8007,924.00,90003,ADD,,10.00
RLT_10,2024,11,10000,3,80010,PROD,8001,"1,705.00",80000,PROD,8000.0,"2,232.00"
RLT_10,2024,11,10000,3,80010,PROD,8001,"1,705.00",90004,ADD,,109.00
RLT_10,2024,11,10000,4,80000,PROD,8000,"2,109.00",70000,RM,,"2,643.00"
RLT_10,2024,11,10000,4,80000,PROD,8000,"2,109.00",90005,ADD,,66.00
RLT_10,2024,11,10001,0,10001,FIN,8002,949.00,50001,PROD,8002.0,949.00
RLT_10,2024,11,10001,1,50001,PROD,8002,840.00,80071,PROD,8007.0,966.00
RLT_10,2024,11,10001,1,50001,PROD,8002,840.00,90005,ADD,,49.00
RLT_10,2024,11,10001,1,50001,PROD,8002,840.00,90006,ADD,,20.00
RLT_10,2024,11,10001,2,80071,PROD,8007,927.00,80011,PROD,8001.0,"3,601.00"
RLT_10,2024,11,10001,2,80071,PROD,8007,927.00,90007,ADD,,30.00
RLT_10,2024,11,10001,2,80071,PROD,8007,927.00,90008,ADD,,10.00
RLT_10,2024,11,10001,3,80011,PROD,8001,"1,946.00",80001,PROD,8000.0,"1,938.00"
RLT_10,2024,11,10001,3,80011,PROD,8001,"1,946.00",90009,ADD,,100.00
RLT_10,2024,11,10001,4,80001,PROD,8000,"1,859.00",70001,RM,,"2,558.00"
RLT_10,2024,11,10001,4,80001,PROD,8000,"1,859.00",90010,ADD,,69.00
RLT_10,2024,12,10000,0,10000,FIN,8002,"1,057.00",50000,PROD,8002.0,"1,057.00"
RLT_10,2024,12,10000,1,50000,PROD,8002,755.00,80070,PROD,8007.0,"1,007.00"
RLT_10,2024,12,10000,1,50000,PROD,8002,755.00,90000,ADD,,53.00
RLT_10,2024,12,10000,1,50000,PROD,8002,755.00,90001,ADD,,20.00
RLT_10,2024,12,10000,2,80070,PROD,8007,987.00,80010,PROD,8001.0,"3,444.00"
RLT_10,2024,12,10000,2,80070,PROD,8007,987.00,90002,ADD,,27.00
RLT_10,2024,12,10000,2,80070,PROD,8007,987.00,90003,ADD,,9.00
RLT_10,2024,12,10000,3,80010,PROD,8001,"1,649.00",80000,PROD,8000.0,"1,684.00"
RLT_10,2024,12,10000,3,80010,PROD,8001,"1,649.00",90004,ADD,,98.00
RLT_10,2024,12,10000,4,80000,PROD,8000,"1,807.00",70000,RM,,"2,556.00"
RLT_10,2024,12,10000,4,80000,PROD,8000,"1,807.00",90005,ADD,,64.00
RLT_10,2024,12,10001,0,10001,FIN,8002,"1,081.00",50001,PROD,8002.0,"1,081.00"
RLT_10,2024,12,10001,1,50001,PROD,8002,794.00,80071,PROD,8007.0,857.00
RLT_10,2024,12,10001,1,50001,PROD,8002,794.00,90005,ADD,,51.00
RLT_10,2024,12,10001,1,50001,PROD,8002,794.00,90006,ADD,,21.00
RLT_10,2024,12,10001,2,80071,PROD,8007,849.00,80011,PROD,8001.0,"3,822.00"
RLT_10,2024,12,10001,2,80071,PROD,8007,849.00,90007,ADD,,27.00
RLT_10,2024,12,10001,2,80071,PROD,8007,849.00,90008,ADD,,9.00
RLT_10,2024,12,10001,3,80011,PROD,8001,"1,780.00",80001,PROD,8000.0,"2,046.00"
RLT_10,2024,12,10001,3,80011,PROD,8001,"1,780.00",90009,ADD,,102.00
RLT_10,2024,12,10001,4,80001,PROD,8000,"2,181.00",70001,RM,,"2,523.00"
RLT_10,2024,12,10001,4,80001,PROD,8000,"2,181.00",90010,ADD,,65.00
RLT_14,2024,1,10002,0,10002,FIN,8002,"1,032.00",50002,PROD,8002.0,"1,032.00"
RLT_14,2024,1,10002,1,50002,PROD,8002,790.00,80072,PROD,8007.0,928.00
RLT_14,2024,1,10002,1,50002,PROD,8002,790.00,90010,ADD,,52.00
RLT_14,2024,1,10002,1,50002,PROD,8002,790.00,90011,ADD,,18.00
RLT_14,2024,1,10002,2,80072,PROD,8007,868.00,80012,PROD,8001.0,"3,471.00"
RLT_14,2024,1,10002,2,80072,PROD,8007,868.00,90012,ADD,,32.00
RLT_14,2024,1,10002,2,80072,PROD,8007,868.00,90013,ADD,,9.00
RLT_14,2024,1,10002,3,80012,PROD,8001,"1,825.00",80002,PROD,8000.0,"2,301.00"
RLT_14,2024,1,10002,3,80012,PROD,8001,"1,825.00",90014,ADD,,92.00
RLT_14,2024,1,10002,4,80002,PROD,8000,"2,136.00",70002,RM,,"2,860.00"
RLT_14,2024,1,10002,4,80002,PROD,8000,"2,136.00",90015,ADD,,70.00
RLT_14,2024,1,10003,0,10003,FIN,8002,"1,030.00",50003,PROD,8002.0,"1,030.00"
RLT_14,2024,1,10003,1,50003,PROD,8002,819.00,80073,PROD,8007.0,976.00
RLT_14,2024,1,10003,1,50003,PROD,8002,819.00,90015,ADD,,54.00
RLT_14,2024,1,10003,1,50003,PROD,8002,819.00,90016,ADD,,21.00
RLT_14,2024,1,10003,2,80073,PROD,8007,963.00,80013,PROD,8001.0,"3,475.00"
RLT_14,2024,1,10003,2,80073,PROD,8007,963.00,90017,ADD,,28.00
RLT_14,2024,1,10003,2,80073,PROD,8007,963.00,90018,ADD,,10.00
RLT_14,2024,1,10003,3,80013,PROD,8001,"1,897.00",80003,PROD,8000.0,"1,688.00"
RLT_14,2024,1,10003,3,80013,PROD,8001,"1,897.00",90019,ADD,,97.00
RLT_14,2024,1,10003,4,80003,PROD,8000,"1,803.00",70003,RM,,"2,522.00"
RLT_14,2024,1,10003,4,80003,PROD,8000,"1,803.00",90020,ADD,,66.00
RLT_14,2024,1,10004,0,10004,FIN,8002,"1,030.00",50004,PROD,8002.0,"1,030.00"
RLT_14,2024,1,10004,1,50004,PROD,8002,819.00,80074,PROD,8007.0,976.00
RLT_14,2024,1,10004,1,50004,PROD,8002,819.00,90020,ADD,,54.00
RLT_14,2024,1,10004,1,50004,PROD,8002,819.00,90021,ADD,,21.00
RLT_14,2024,1,10004,2,80074,PROD,8007,963.00,80014,PROD,8001.0,"3,475.00"
RLT_14,2024,1,10004,2,80074,PROD,8007,963.00,90022,ADD,,28.00
RLT_14,2024,1,10004,2,80074,PROD,8007,963.00,90023,ADD,,10.00
RLT_14,2024,1,10004,3,80014,PROD,8001,"1,897.00",80004,PROD,8000.0,"1,688.00"
RLT_14,2024,1,10004,3,80014,PROD,8001,"1,897.00",90024,ADD,,97.00
RLT_14,2024,1,10004,4,80004,PROD,8000,"1,803.00",70004,RM,,"2,522.00"
RLT_14,2024,1,10004,4,80004,PROD,8000,"1,803.00",90025,ADD,,66.00
RLT_14,2024,1,10005,0,10005,FIN,8002,975.00,50005,PROD,8002.0,975.00
RLT_14,2024,1,10005,1,50005,PROD,8002,739.00,80075,PROD,8007.0,808.00
RLT_14,2024,1,10005,1,50005,PROD,8002,739.00,90025,ADD,,49.00
RLT_14,2024,1,10005,1,50005,PROD,8002,739.00,90026,ADD,,21.00
RLT_14,2024,1,10005,2,80075,PROD,8007,897.00,80015,PROD,8001.0,"3,541.00"
